key,en,vi,ar,bn,bg,zh,hr,cs,da,nl,et,fi,fr,de,el,he,hi,hu,id,it,ja,ko,lv,lt,no,pl,pt,ro,ru,sr,sk,sl,es,sw,sv,th,tr,uk
vi,Vietnamese,Tiếng Việt,الفيتنامية,ভিয়েতনামি,Виетнамски,越南语,Vijetnamski,Vietnamština,Vietnamesisk,Vietnamees,Vietnami,Vietnami,Vietnamien,Vietnamesisch,Βιετναμικά,וייטנאמית,वियतनामी,Vietnámi,Bahasa Vietnam,Vietnamita,ベトナム語,베트남어,Vjetnamieša,Vietnamiečių,Vietnamesisk,Wietnamski,Vietnamita,Vietnameză,Вьетнамский,Вијетнамски,Vietnamčina,Vietnamščina,Vietnamita,Kivietinamu,Vietnamesiska,เวียดนาม,Vietnamca,В'єтнамська
en,English,Tiếng Anh,الإنجليزية,ইংরেজি,Английски,英语,Engleski,Angličtina,Engelsk,Engels,Inglise,Englanti,Anglais,Englisch,Αγγλικά,אנגלית,अंग्रेज़ी,Angol,Bahasa Inggris,Inglese,英語,영어,Angļu,Anglų,Engelsk,Angielski,Inglês,Engleză,Английский,Енглески,Angličtina,Angleščina,Inglés,Kiingereza,Engelska,อังกฤษ,İngilizce,Англійська
ar,Arabic,Tiếng Ả Rập,العربية,আরবি,Арабски,阿拉伯语,Arapski,Arabština,Arabisk,Arabisch,Araabia,Arabia,Arabe,Arabisch,Αραβικά,ערבית,अरबी,Arab,Bahasa Arab,Arabo,アラビア語,아랍어,Arābu,Arabų,Arabisk,Arabski,Árabe,Arabă,Арабский,Арапски,Arabčina,Arabščina,Árabe,Kiarabu,Arabiska,อาหรับ,Arapça,Арабська
bn,Bengali,Tiếng Bengali,البنغالية,বাংলা,Бенгалски,孟加拉语,Bengalski,Bengálština,Bengali,Bengaals,Bengali,Bengali,Bengali,Bengalisch,Βεγγαλικά,בנגלית,बंगाली,Bengáli,Bahasa Bengali,Bengalese,ベンガル語,벵골어,Bengāļu,Bengalų,Bengali,Bengalski,Bengali,Bengaleză,Бенгальский,Бенгалски,Bengálčina,Bengalščina,Bengalí,Kibengali,Bengali,เบงกาลี,Bengalce,Бенгальська
bg,Bulgarian,Tiếng Bulgaria,البلغارية,বুলগেরিয়ান,Български,保加利亚语,Bugarski,Bulharština,Bulgarsk,Bulgaars,Bulgaaria,Bulgaria,Bulgare,Bulgarisch,Βουλγαρικά,בולגרית,बल्गेरियाई,Bolgár,Bahasa Bulgaria,Bulgaro,ブルガリア語,불가리아어,Bulgāru,Bulgarų,Bulgarsk,Bułgarski,Búlgaro,Bulgară,Болгарский,Бугарски,Bulharčina,Bolgarščina,Búlgaro,Kibulgaria,Bulgariska,บัลแกเรีย,Bulgarca,Болгарська
zh,Chinese,Tiếng Trung,الصينية,চীনা,Китайски,中文,Kineski,Čínština,Kinesisk,Chinees,Hiina,Kiina,Chinois,Chinesisch,Κινεζικά,סינית,चीनी,Kínai,Bahasa Mandarin,Cinese,中国語,중국어,Ķīniešu,Kinų,Kinesisk,Chiński,Chinês,Chineză,Китайский,Кинески,Čínština,Kitajščina,Chino,Kichina,Kinesiska,จีน,Çince,Китайська
hr,Croatian,Tiếng Croatia,الكرواتية,ক্রোয়েশিয়ান,Хърватски,克罗地亚语,Hrvatski,Chorvatština,Kroatisk,Kroatisch,Horvaatia,Kroatia,Croate,Kroatisch,Κροατικά,קרואטית,क्रोएशियाई,Horvát,Bahasa Kroasia,Croato,クロアチア語,크로아티아어,Horvātu,Kroatų,Kroatisk,Chorwacki,Croata,Croată,Хорватский,Хрватски,Chorvátčina,Hrvaščina,Croata,Kikroeshia,Kroatiska,โครเอเชีย,Hırvatça,Хорватська
cs,Czech,Tiếng Séc,التشيكية,চেক,Чешки,捷克语,Češki,Čeština,Tjekkisk,Tsjechisch,Tšehhi,Tšekki,Tchèque,Tschechisch,Τσεχικά,צ'כית,चेक,Cseh,Bahasa Ceko,Ceco,チェコ語,체코어,Čehu,Čekų,Tsjekkisk,Czeski,Checo,Cehă,Чешский,Чешки,Čeština,Češčina,Checo,Kicheki,Tjeckiska,เช็ก,Çekçe,Чеська
da,Danish,Tiếng Đan Mạch,الدنماركية,ডেনিশ,Датски,丹麦语,Danski,Dánština,Dansk,Deens,Taani,Tanska,Danois,Dänisch,Δανικά,דנית,डेनिश,Dán,Bahasa Denmark,Danese,デンマーク語,덴마크어,Dāņu,Danų,Dansk,Duński,Dinamarquês,Daneză,Датский,Дански,Dánčina,Danščina,Danés,Kidenmaki,Danska,เดนมาร์ก,Danca,Данська
nl,Dutch,Tiếng Hà Lan,الهولندية,ডাচ,Нидерландски,荷兰语,Nizozemski,Nizozemština,Hollandsk,Nederlands,Hollandi,Hollanti,Néerlandais,Niederländisch,Ολλανδικά,הולנדית,डच,Holland,Bahasa Belanda,Olandese,オランダ語,네덜란드어,Holandiešu,Olandų,Nederlandsk,Niderlandzki,Neerlandês,Olandeză,Нидерландский,Холандски,Holandčina,Nizozemščina,Neerlandés,Kiholanzi,Nederländska,ดัตช์,Felemenkçe,Нідерландська
